ecosystem_type,data_type,year,var,group,old_var,value,units,panel_label
lake,lake_ice_thickness,1997,ice_thickness,WLB,WLB ice (m),3.988333333,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1998,ice_thickness,WLB,WLB ice (m),3.962727273,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1999,ice_thickness,WLB,WLB ice (m),4.340909091,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2000,ice_thickness,WLB,WLB ice (m),4.315,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2001,ice_thickness,WLB,WLB ice (m),4.33,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2002,ice_thickness,WLB,WLB ice (m),4.441666667,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2003,ice_thickness,WLB,WLB ice (m),4.104285714,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2004,ice_thickness,WLB,WLB ice (m),4.013,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2005,ice_thickness,WLB,WLB ice (m),3.933333333,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2006,ice_thickness,WLB,WLB ice (m),3.968,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2007,ice_thickness,WLB,WLB ice (m),3.89,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2008,ice_thickness,WLB,WLB ice (m),3.646,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2009,ice_thickness,WLB,WLB ice (m),3.688,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2010,ice_thickness,WLB,WLB ice (m),3.544,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2011,ice_thickness,WLB,WLB ice (m),3.7775,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2012,ice_thickness,WLB,WLB ice (m),3.656,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,2013,ice_thickness,WLB,WLB ice (m),3.635,m,Lake Ice Thickness West L Bonney
lake,lake_level_change,1991.071233,lake_rise,BONN,lake rise,0,m,Lake Bonney Level Since 1991
lake,lake_level_change,1992.69863,lake_rise,BONN,lake rise,0.17,m,Lake Bonney Level Since 1991
lake,lake_level_change,1992.939726,lake_rise,BONN,lake rise,0.17,m,Lake Bonney Level Since 1991
lake,lake_level_change,1995.063014,lake_rise,BONN,lake rise,0.11,m,Lake Bonney Level Since 1991
lake,lake_level_change,1997.065753,lake_rise,BONN,lake rise,0.12,m,Lake Bonney Level Since 1991
lake,lake_level_change,1998.046575,lake_rise,BONN,lake rise,0.09,m,Lake Bonney Level Since 1991
lake,lake_level_change,1998.90137,lake_rise,BONN,lake rise,-0.03,m,Lake Bonney Level Since 1991
lake,lake_level_change,1999.071233,lake_rise,BONN,lake rise,0.06,m,Lake Bonney Level Since 1991
lake,lake_level_change,1999.8,lake_rise,BONN,lake rise,-0.06,m,Lake Bonney Level Since 1991
lake,lake_level_change,2000.052055,lake_rise,BONN,lake rise,-0.05,m,Lake Bonney Level Since 1991
lake,lake_level_change,2000.912329,lake_rise,BONN,lake rise,-0.26,m,Lake Bonney Level Since 1991
lake,lake_level_change,2001.934247,lake_rise,BONN,lake rise,-0.35,m,Lake Bonney Level Since 1991
lake,lake_level_change,2002.043836,lake_rise,BONN,lake rise,0.44,m,Lake Bonney Level Since 1991
lake,lake_level_change,2002.89589,lake_rise,BONN,lake rise,0.47,m,Lake Bonney Level Since 1991
lake,lake_level_change,2002.99726,lake_rise,BONN,lake rise,0.44,m,Lake Bonney Level Since 1991
lake,lake_level_change,2003.884932,lake_rise,BONN,lake rise,0.5,m,Lake Bonney Level Since 1991
lake,lake_level_change,2004.079452,lake_rise,BONN,lake rise,0.8,m,Lake Bonney Level Since 1991
lake,lake_level_change,2004.884932,lake_rise,BONN,lake rise,0.65,m,Lake Bonney Level Since 1991
lake,lake_level_change,2005.084932,lake_rise,BONN,lake rise,0.95,m,Lake Bonney Level Since 1991
lake,lake_level_change,2005.893151,lake_rise,BONN,lake rise,0.906,m,Lake Bonney Level Since 1991
lake,lake_level_change,2006.084932,lake_rise,BONN,lake rise,1.1869616,m,Lake Bonney Level Since 1991
lake,lake_level_change,2007.071233,lake_rise,BONN,lake rise,1.300652,m,Lake Bonney Level Since 1991
lake,lake_level_change,2007.854795,lake_rise,BONN,lake rise,1.15,m,Lake Bonney Level Since 1991
lake,lake_level_change,2008.019178,lake_rise,BONN,lake rise,1.29,m,Lake Bonney Level Since 1991
lake,lake_level_change,2008.071233,lake_rise,BONN,lake rise,1.38,m,Lake Bonney Level Since 1991
lake,lake_level_change,2008.953425,lake_rise,BONN,lake rise,1.16,m,Lake Bonney Level Since 1991
lake,lake_level_change,2009.079452,lake_rise,BONN,lake rise,1.82,m,Lake Bonney Level Since 1991
lake,lake_level_change,2009.079452,lake_rise,BONN,lake rise,1.82,m,Lake Bonney Level Since 1991
lake,lake_level_change,2009.882192,lake_rise,BONN,lake rise,1.69,m,Lake Bonney Level Since 1991
lake,lake_level_change,2009.923288,lake_rise,BONN,lake rise,1.675,m,Lake Bonney Level Since 1991
lake,lake_level_change,2010.854795,lake_rise,BONN,lake rise,1.755,m,Lake Bonney Level Since 1991
lake,lake_level_change,2011.076712,lake_rise,BONN,lake rise,2.5775588,m,Lake Bonney Level Since 1991
lake,lake_level_change,2011.854795,lake_rise,BONN,lake rise,2.46,m,Lake Bonney Level Since 1991
lake,lake_level_change,2012.082192,lake_rise,BONN,lake rise,2.7145664,m,Lake Bonney Level Since 1991
lake,lake_level_change,2012.852055,lake_rise,BONN,lake rise,2.81,m,Lake Bonney Level Since 1991
lake,lake_level_change,2013.084932,lake_rise,BONN,lake rise,3.13275,m,Lake Bonney Level Since 1991
lake,lake_ppr,1988,PPR,ELB,ELB PPR (mgC/m2/d),,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1989,PPR,ELB,ELB PPR (mgC/m2/d),,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1990,PPR,ELB,ELB PPR (mgC/m2/d),16.13062567,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1991,PPR,ELB,ELB PPR (mgC/m2/d),14.97864,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1992,PPR,ELB,ELB PPR (mgC/m2/d),13.47899821,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1993,PPR,ELB,ELB PPR (mgC/m2/d),16.62264068,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1994,PPR,ELB,ELB PPR (mgC/m2/d),17.64289344,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1995,PPR,ELB,ELB PPR (mgC/m2/d),9.380504333,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1996,PPR,ELB,ELB PPR (mgC/m2/d),12.1340708,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1997,PPR,ELB,ELB PPR (mgC/m2/d),10.69933186,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1998,PPR,ELB,ELB PPR (mgC/m2/d),11.43290035,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1999,PPR,ELB,ELB PPR (mgC/m2/d),10.67474167,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2000,PPR,ELB,ELB PPR (mgC/m2/d),13.35950915,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2001,PPR,ELB,ELB PPR (mgC/m2/d),8.508542796,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2002,PPR,ELB,ELB PPR (mgC/m2/d),12.04582236,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2003,PPR,ELB,ELB PPR (mgC/m2/d),17.20682321,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2004,PPR,ELB,ELB PPR (mgC/m2/d),13.86075358,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2005,PPR,ELB,ELB PPR (mgC/m2/d),16.62400237,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2006,PPR,ELB,ELB PPR (mgC/m2/d),16.33312158,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2007,PPR,ELB,ELB PPR (mgC/m2/d),17.54056615,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2008,PPR,ELB,ELB PPR (mgC/m2/d),22.44394756,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2009,PPR,ELB,ELB PPR (mgC/m2/d),14.8643313,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2010,PPR,ELB,ELB PPR (mgC/m2/d),14.86396632,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2011,PPR,ELB,ELB PPR (mgC/m2/d),15.61941031,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2012,PPR,ELB,ELB PPR (mgC/m2/d),15.59945194,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,2013,PPR,ELB,ELB PPR (mgC/m2/d),15.33343853,mgC/m2/d,Lake PPR East L Bonney
lake,lake_ppr,1988,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1989,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1990,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1991,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1992,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1993,PPR,WLB,WLB PPR (mgC/m2/d),31.4762293,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1994,PPR,WLB,WLB PPR (mgC/m2/d),31.18790688,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1995,PPR,WLB,WLB PPR (mgC/m2/d),38.72987148,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1996,PPR,WLB,WLB PPR (mgC/m2/d),24.76233646,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1997,PPR,WLB,WLB PPR (mgC/m2/d),27.49212344,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1998,PPR,WLB,WLB PPR (mgC/m2/d),23.25324767,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,1999,PPR,WLB,WLB PPR (mgC/m2/d),18.5287316,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2000,PPR,WLB,WLB PPR (mgC/m2/d),20.26200525,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2001,PPR,WLB,WLB PPR (mgC/m2/d),14.29229825,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2002,PPR,WLB,WLB PPR (mgC/m2/d),14.05229879,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2003,PPR,WLB,WLB PPR (mgC/m2/d),19.85552823,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2004,PPR,WLB,WLB PPR (mgC/m2/d),9.523832125,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2005,PPR,WLB,WLB PPR (mgC/m2/d),18.56093106,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2006,PPR,WLB,WLB PPR (mgC/m2/d),17.08656959,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2007,PPR,WLB,WLB PPR (mgC/m2/d),16.78428607,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2008,PPR,WLB,WLB PPR (mgC/m2/d),18.58535058,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2009,PPR,WLB,WLB PPR (mgC/m2/d),19.81046592,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2010,PPR,WLB,WLB PPR (mgC/m2/d),24.19775014,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2011,PPR,WLB,WLB PPR (mgC/m2/d),21.05376777,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2012,PPR,WLB,WLB PPR (mgC/m2/d),30.51220192,mgC/m2/d,Lake PPR West L Bonney
lake,lake_ppr,2013,PPR,WLB,WLB PPR (mgC/m2/d),23.37075723,mgC/m2/d,Lake PPR West L Bonney
soil,nematodes,1994,total_live,Eudorylaimus,Eudorylaimus total live,10.44848772,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,1995,total_live,Eudorylaimus,Eudorylaimus total live,15.48241048,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,1996,total_live,Eudorylaimus,Eudorylaimus total live,23.59270164,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,1996,total_live,Eudorylaimus,Eudorylaimus total live,34.4008047,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,1997,total_live,Eudorylaimus,Eudorylaimus total live,13.36024651,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,1999,total_live,Eudorylaimus,Eudorylaimus total live,18.92448309,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,2002,total_live,Eudorylaimus,Eudorylaimus total live,16.27641132,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,2006,total_live,Eudorylaimus,Eudorylaimus total live,36.48750936,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,2008,total_live,Eudorylaimus,Eudorylaimus total live,50.60994539,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,2009,total_live,Eudorylaimus,Eudorylaimus total live,27.68495315,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,2012,total_live,Eudorylaimus,Eudorylaimus total live,40.03872297,# individuals/kg dry soil,Eudorylaimus sp. (#/kg soil)
soil,nematodes,1994,total_live,Scottnema,Scottnema total live,1393.25,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,1995,total_live,Scottnema,Scottnema total live,1053.203678,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,1996,total_live,Scottnema,Scottnema total live,1036.133204,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,1996,total_live,Scottnema,Scottnema total live,392.0162475,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,1997,total_live,Scottnema,Scottnema total live,698.9693436,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,1999,total_live,Scottnema,Scottnema total live,617.68293,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,2002,total_live,Scottnema,Scottnema total live,472.6532769,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,2006,total_live,Scottnema,Scottnema total live,210.7417563,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,2008,total_live,Scottnema,Scottnema total live,648.4840755,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,2009,total_live,Scottnema,Scottnema total live,363.7672008,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
soil,nematodes,2012,total_live,Scottnema,Scottnema total live,715.3279044,# individuals/kg dry soil,Scottnema sp. (#/kg soil)
stream,frx_basin_dsch,1988,disch,Total_FRX_basin,FRX_Q_x10e6,,10^6 m3/s,Annual Streamflow
stream,frx_basin_dsch,1989,disch,Total_FRX_basin,FRX_Q_x10e6,,10^6 m3/s,Annual Streamflow
stream,frx_basin_dsch,1990,disch,Total_FRX_basin,FRX_Q_x10e6,,10^6 m3/s,Annual Streamflow
stream,frx_basin_dsch,1991,disch,Total_FRX_basin,FRX_Q_x10e6,3134.433957,10^6 m3/s,Annual Streamflow
stream,frx_basin_dsch,1992,disch,Total_FRX_basin,FRX_Q_x10e6,2290.295914,10^6 m3/s,Annual Streamflow
stream,frx_basin_dsch,1993,disch,Total_FRX_basin,FRX_Q_x10e6,,10^6 m3/s,Annual Streamflow
stream,frx_basin_dsch,1994,disch,Total_FRX_basin,FRX_Q_x10e6,929.1631384,10^6 m3/s,Annual Streamflow
stream,frx_basin_dsch,1995,disch,Total_FRX_basin,FRX_Q_x10e6,318.5760543,10^6 m3/s,Annual Streamflow
stream,frx_basin_dsch,1996,disch,Total_FRX_basin,FRX_Q_x10e6,536.2529371,10^6 m3/s,Annual Streamflow
stream,frx_basin_dsch,1997,disch,Total_FRX_basin,FRX_Q_x10e6,487.4711365,10^6 m3/s,Annual Streamflow
