ecosystem_type,data_type,year,var,group,old_var,value,units
lake,lake_ice_thickness,1990,ice_thickness,WLB,WLB ice (m),3.75,m
lake,lake_ice_thickness,1991,ice_thickness,FRX,FRX ice (m),4.45,m
lake,lake_ice_thickness,1991,ice_thickness,HOR,HOR ice (m),,m
lake,lake_ice_thickness,1991,ice_thickness,ELB,ELB ice (m),3.74,m
lake,lake_ice_thickness,1991,ice_thickness,WLB,WLB ice (m),,m
lake,lake_ice_thickness,1992,ice_thickness,FRX,FRX ice (m),,m
lake,lake_ice_thickness,1992,ice_thickness,HOR,HOR ice (m),,m
lake,lake_ice_thickness,1992,ice_thickness,ELB,ELB ice (m),,m
lake,lake_ice_thickness,1992,ice_thickness,WLB,WLB ice (m),,m
lake,lake_ice_thickness,1993,ice_thickness,FRX,FRX ice (m),,m
lake,lake_ice_thickness,1993,ice_thickness,HOR,HOR ice (m),,m
lake,lake_ice_thickness,1993,ice_thickness,ELB,ELB ice (m),,m
lake,lake_ice_thickness,1993,ice_thickness,WLB,WLB ice (m),,m
lake,lake_ice_thickness,1994,ice_thickness,FRX,FRX ice (m),,m
lake,lake_ice_thickness,1994,ice_thickness,HOR,HOR ice (m),,m
lake,lake_ice_thickness,1994,ice_thickness,ELB,ELB ice (m),,m
lake,lake_ice_thickness,1994,ice_thickness,WLB,WLB ice (m),3.5,m
lake,lake_ice_thickness,1995,ice_thickness,FRX,FRX ice (m),,m
lake,lake_ice_thickness,1995,ice_thickness,HOR,HOR ice (m),,m
lake,lake_ice_thickness,1995,ice_thickness,ELB,ELB ice (m),,m
lake,lake_ice_thickness,1995,ice_thickness,WLB,WLB ice (m),3.25,m
lake,lake_ice_thickness,1996,ice_thickness,FRX,FRX ice (m),4.544,m
lake,lake_ice_thickness,1996,ice_thickness,HOR,HOR ice (m),4.72,m
lake,lake_ice_thickness,1996,ice_thickness,ELB,ELB ice (m),3.94,m
lake,lake_ice_thickness,1996,ice_thickness,WLB,WLB ice (m),3.926666667,m
lake,lake_ice_thickness,1997,ice_thickness,FRX,FRX ice (m),4.241666667,m
lake,lake_ice_thickness,1997,ice_thickness,HOR,HOR ice (m),4.746923077,m
lake,lake_ice_thickness,1997,ice_thickness,ELB,ELB ice (m),4.174444444,m
lake,lake_ice_thickness,1997,ice_thickness,WLB,WLB ice (m),3.988333333,m
lake,lake_ice_thickness,1998,ice_thickness,FRX,FRX ice (m),4.371666667,m
lake,lake_ice_thickness,1998,ice_thickness,HOR,HOR ice (m),4.879,m
lake,lake_ice_thickness,1998,ice_thickness,ELB,ELB ice (m),4.175,m
lake,lake_ice_thickness,1998,ice_thickness,WLB,WLB ice (m),3.962727273,m
lake,lake_ice_thickness,1999,ice_thickness,FRX,FRX ice (m),4.9,m
lake,lake_ice_thickness,1999,ice_thickness,HOR,HOR ice (m),5.314166667,m
lake,lake_ice_thickness,1999,ice_thickness,ELB,ELB ice (m),4.48,m
